,company_name,company_rating,other_data
267,PVR Cinemas,4.1,"Media & Entertainment , 1k-5k Employees , Public , 27 years old , Indore +107 more"
268,McW Healthcare,4.2,"51-200 Employees , 36 years old , Indore +3 more"
269,Computronics Systems,4.0,"IT Services & Consulting , 501-1k Employees , 28 years old , Indore +12 more"
270,Gammastack,3.5,"IT Services & Consulting , 201-500 Employees , 12 years old , Indore"
271,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Indore +269 more"
272,Hathway,3.7,"Broadcasting , 501-1k Employees , 65 years old , Indore +48 more"
273,Case New-Holland Construction Equipment India,4.1,"Industrial Machinery , 51-200 Employees , 182 years old , Indore +35 more"
274,Pushp Brand Spices,4.0,"51-200 Employees , Indore +25 more"
275,Plantix Agritech,4.0,"IT Services & Consulting , 9 years old , Indore +3 more"
276,Torrent Pharmaceuticals,4.0,"Pharma , 10k-50k Employees , Public , 53 years old , Indore +97 more"
277,Adani Wilmar,4.2,"FMCG , 1k-5k Employees , Public , 25 years old , Indore +154 more"
278,K Tek Resourcing,3.3,"IT Services & Consulting , 201-500 Employees , Indore +2 more"
279,Symbiosis University of Applied Sciences,3.8,"Education & Training , 51-200 Employees , Indore +1 more"
280,Axis Direct,3.9,"Financial Services , 1k-5k Employees , 13 years old , Indore +258 more"
281,Vistaar Finance,4.2,"NBFC , 1k-5k Employees , 14 years old , Indore +163 more"
282,I Process Services,3.9,"Recruitment , 1k-5k Employees , 19 years old , Indore +305 more"
283,Persistent Systems,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Indore +33 more"
284,Lotus Electronics,4.7,"Consumer Electronics & Appliances , 201-500 Employees (Global) , Public , 24 years old , Indore +9 more"
285,KENT RO Systems,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , 25 years old , Indore +139 more"
286,Indus Towers,4.0,"Telecom , 1k-5k Employees , Fortune India 500 , 17 years old , Indore +159 more"
287,GATI-KWE,4.0,"Logistics , 1k-5k Employees , 12 years old , Indore +156 more"
