,company_name,company_rating,other_data
6105,NY Project Management Consultant,5.0,Jaipur
6106,Build India Education,5.0,Jaipur
6107,The Foundation for Education Development,5.0,Jaipur
6108,M Birla & Company,5.0,Jaipur
6109,Jewels Of Jaipur,5.0,Jaipur
6110,Imagine Online Store,3.2,Jaipur +1 more
6111,Antrazal,5.0,Jaipur
6112,Shree Anndata Enterprises & Fashions,5.0,Jaipur
6113,Vin Medicament,4.0,Jaipur
6114,APAC Entrepreneur,5.0,Jaipur +1 more
6115,Aarusoft IT Services,5.0,Jaipur
6116,Kasya,5.0,Jaipur
6117,Earth Stone Inc,2.0,Jaipur
6118,SunCrypto,4.0,Jaipur
6119,Soni Advision,4.0,Jaipur
6120,CHIC PARISIEN FASHION INDIA,4.0,"Fashion & Textile , Jaipur"
6121,Malviya Urban Co-Operative BanK,4.0,"Financial Services , Jaipur"
6122,Lost House,5.0,Jaipur
6123,Vigen India,5.0,Jaipur +3 more
6124,Vardavinayaka Softwares And Engineering,5.0,Jaipur
6125,Videos Express,5.0,Jaipur
6126,Laxmi Garment Crafts,5.0,Jaipur
6127,Call Me Services,3.6,"Recruitment , Jaipur +1 more"
6128,White Candle Spa,4.0,Jaipur
6129,Web Infotech India,1.5,Jaipur +3 more
6130,Al Ahlia Contracting Group,4.0,Jaipur +1 more
6131,Surendra K Goyal And Co,4.0,Jaipur
6132,Muby Technologies,2.6,"201-500 Employees (Global) , Jaipur +1 more"
6133,Ground Water & Mineral Investigation Consultancy,5.0,Jaipur
6134,Future Group Guest House,4.3,Jaipur +1 more
6135,Shubham Group,3.9,"29 years old , Jaipur +3 more"
6136,Kumawat Buildcon,3.0,Jaipur
6137,AR Designs,5.0,Jaipur
6138,Decathalon Sports India pvt Ltd,3.1,Jaipur +8 more
6139,iCRAZE Magazine,5.0,Jaipur
6140,Samadhan Agrotech,5.0,Jaipur
6141,Institute of Biomedical and Industrial Research,5.0,"Education & Training , Jaipur"
6142,Aspiration Events,5.0,Jaipur
6143,Vms Pharmaceuticals,5.0,Jaipur +2 more
6144,Vishal Electro Industries,3.9,Jaipur +1 more
6145,Pratap Automobiles,3.0,"11-50 Employees , Jaipur"
6146,Ajay Agro Tech,4.0,"11-50 Employees , Jaipur"
6147,NEXTRISE BUSINESS SERVICES,5.0,Jaipur
6148,VG Artifex,3.0,Jaipur
6149,Ocean Collection,2.0,Jaipur
6150,Vijay Central Academy Public School,4.0,"Education & Training , 11-50 Employees , Jaipur"
6151,SURESH ELECTRONICS,5.0,Jaipur +1 more
6152,Khandelwal Public School,4.0,"Education & Training , Jaipur"
6153,Kids International School,3.4,"Education & Training , Jamshedpur +5 more"
6154,Mango Hotel,2.4,"11-50 Employees , Jaipur +2 more"
6155,Khanna Tour & Travels,5.0,Jaipur
6156,Hotel Park Avenue,4.6,Jaipur +2 more
6157,Harshal polymers,5.0,Jaipur
6158,Hard Rock Rohitha Engineering,1.5,"51-200 Employees , Udaipur +1 more"
6159,Ashiana Greens,5.0,Jaipur
6160,APS Smart Living & Consultant,1.0,Jaipur
6161,Paraamarsh Parimandal,5.0,Jaipur
6162,pnb Matlife Life Insurance,4.2,"51-200 Employees , Jaipur +6 more"
6163,Petrochem Specialities and Bitumens Private Limited Muzaffarnagar up,5.0,Jaipur
6164,SHHA RESTAURANTS P.V.T L.T.D,5.0,Jaipur
6165,Oshnic Crop Science,4.0,Jaipur
6166,Saint Agastya Montessori School - Jaipur,5.0,"Education & Training , Jaipur"
6167,Super Time Cargo,5.0,Jaipur
6168,Khandelwal Electro Products,4.0,Jaipur
6169,EXPORT VAKIL,5.0,Jaipur
6170,Shankar Logisitcs,5.0,Jaipur
6171,Balsara Home Products,4.7,"Public , Jaipur +1 more"
6172,Studyapt,3.0,"Startup , Jaipur"
6173,Dollar Company Pvt. Ltd. (Hadensa) Chennai,4.6,"51-200 Employees , Jaipur +3 more"
6174,FABRO Leather Industries,1.0,Jaipur
6175,DRESS. COM INDIA,2.0,Jaipur
6176,Maahi Enterprise,2.6,Jaipur +1 more
6177,FIBROHEAL WOUNDCARE,4.9,"11-50 Employees , Jaipur +7 more"
6178,Solarium Green Energy LLP.,4.9,"Power , 201-500 Employees , Jaipur +1 more"
6179,Dr. Virendra Laser Phaco Surgery Centre,5.0,"51-200 Employees , Jaipur"
6180,Detha Infomedia,5.0,Jaipur
6181,Shri Vinayak & Company,2.0,Jaipur
6182,Trade Innovation Services,3.0,Jaipur
6183,Knits And Weaves,1.0,Jaipur
6184,Vishawas Finvest,5.0,Jaipur
6185,Joe Browns,5.0,Jaipur
6186,Nityananda Syndicate,5.0,Jaipur
6187,Dey & Associates,5.0,Jaipur
